antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"[""Alien""]","[""Alien\u00b3""]",0.006791171477079796,0.0050933786078098476,0.003395585738539898,0.5,98.16666666666666,1.0,0.0033609957310165714,1.9898132427843802,0.9965811965811965,0.39999999999999997,0.4974402730375427,0.5833333333333333,['Alien'],['Alien³']
"[""Alien\u00b3""]","[""Alien""]",0.0050933786078098476,0.006791171477079796,0.003395585738539898,0.6666666666666666,98.16666666666666,1.0,0.0033609957310165714,2.9796264855687604,0.9948805460750854,0.39999999999999997,0.6643874643874643,0.5833333333333333,['Alien³'],['Alien']
"[""Aliens""]","[""Alien\u00b3""]",0.00933786078098472,0.0050933786078098476,0.003395585738539898,0.36363636363636365,71.39393939393939,1.0,0.003348024478195324,1.5634246907591558,0.99528706083976,0.3076923076923077,0.3603785293205089,0.5151515151515151,['Aliens'],['Alien³']
"[""Alien\u00b3""]","[""Aliens""]",0.0050933786078098476,0.00933786078098472,0.003395585738539898,0.6666666666666666,71.39393939393939,1.0,0.003348024478195324,2.9719864176570456,0.9910409556313993,0.3076923076923077,0.6635247072265067,0.5151515151515151,['Alien³'],['Aliens']
"[""Alien"",""Aliens""]","[""Alien\u00b3""]",0.0050933786078098476,0.0050933786078098476,0.003395585738539898,0.6666666666666666,130.88888888888889,1.0,0.003369643232897403,2.98471986417657,0.9974402730375427,0.49999999999999994,0.6649601820250284,0.6666666666666666,"['Alien', 'Aliens']",['Alien³']
"[""Alien"",""Alien\u00b3""]","[""Aliens""]",0.003395585738539898,0.00933786078098472,0.003395585738539898,1.0,107.0909090909091,1.0,0.0033638782316435154,inf,0.9940374787052811,0.3636363636363637,1.0,0.6818181818181819,"['Alien', 'Alien³']",['Aliens']
"[""Alien\u00b3"",""Aliens""]","[""Alien""]",0.003395585738539898,0.006791171477079796,0.003395585738539898,1.0,147.25,1.0,0.003372525733524347,inf,0.9965928449744464,0.5000000000000001,1.0,0.75,"['Alien³', 'Aliens']",['Alien']
"[""Alien""]","[""Alien\u00b3"",""Aliens""]",0.006791171477079796,0.003395585738539898,0.003395585738539898,0.5,147.25,1.0,0.003372525733524347,1.9932088285229201,1.0,0.5000000000000001,0.4982964224872232,0.75,['Alien'],"['Alien³', 'Aliens']"
"[""Aliens""]","[""Alien"",""Alien\u00b3""]",0.00933786078098472,0.003395585738539898,0.003395585738539898,0.36363636363636365,107.0909090909091,1.0,0.0033638782316435154,1.5660926509822943,1.0,0.3636363636363637,0.3614681740746477,0.6818181818181819,['Aliens'],"['Alien', 'Alien³']"
"[""Alien\u00b3""]","[""Alien"",""Aliens""]",0.0050933786078098476,0.0050933786078098476,0.003395585738539898,0.6666666666666666,130.88888888888889,1.0,0.003369643232897403,2.98471986417657,0.9974402730375427,0.49999999999999994,0.6649601820250284,0.6666666666666666,['Alien³'],"['Alien', 'Aliens']"
"[""Once Upon a Time... in Hollywood""]","[""Knives Out""]",0.008488964346349746,0.008488964346349746,0.003395585738539898,0.39999999999999997,47.12,1.0,0.003323523222866301,1.6525183927560836,0.9871575342465753,0.25,0.3948630136986301,0.39999999999999997,['Once Upon a Time... in Hollywood'],['Knives Out']
"[""Knives Out""]","[""Once Upon a Time... in Hollywood""]",0.008488964346349746,0.008488964346349746,0.003395585738539898,0.39999999999999997,47.12,1.0,0.003323523222866301,1.6525183927560836,0.9871575342465753,0.25,0.3948630136986301,0.39999999999999997,['Knives Out'],['Once Upon a Time... in Hollywood']
"[""Almost Famous""]","[""Dr. No""]",0.004244482173174873,0.0050933786078098476,0.003395585738539898,0.7999999999999999,157.06666666666663,1.0,0.003373966983837819,4.974533106960949,0.9978687127024722,0.5714285714285713,0.7989761092150169,0.7333333333333333,['Almost Famous'],['Dr. No']
